statue,raw_material,category_ids,series_01,series_02,attribute_set,grouped_sku,edp_number,sku,image_detail,icons,vender_name,number_of_flute,outside_diameter,shank_diameter,length_of_cut,length_below_shank,overall_length,corner_radius,ball_nose_radius,taper,coating,single_double,shank_type,name,description,short_description,type,product_type_id,price,qty,visibility,weight,tax_class_id
1,CARBIDE,"3,7,16,17,18",3S MILL,CG3S01,EM_square,GR-EM-CG3S01,CG3S010003,YNEAAAADF,,,New Century,2,0.03,4,0.04,0,40,,,,MULTI-1,SINGLE,PLAIN,3S MILL 2FL 30deg. Helix E/M,,,simple,simple,8000000,10,1,1,4
1,CARBIDE,"3,7,16,17,18",3S MILL,CG3S01,EM_square,GR-EM-CG3S01,CG3S010004,YNEAAABDF,,,New Century,2,0.04,4,0.06,0,40,,,,MULTI-1,SINGLE,PLAIN,3S MILL 2FL 30deg. Helix E/M,,,simple,simple,8000000,10,1,1,4
1,CARBIDE,"3,7,16,17,18",3S MILL,CG3S01,EM_square,GR-EM-CG3S01,CG3S010005,YNEAAACDF,,,New Century,2,0.05,4,0.07,0,40,,,,MULTI-1,SINGLE,PLAIN,3S MILL 2FL 30deg. Helix E/M,,,simple,simple,8000000,10,1,1,4
1,CARBIDE,"3,7,16,17,18",3S MILL,CG3S01,EM_square,GR-EM-CG3S01,CG3S010006,YNEAAADDF,,,New Century,2,0.06,4,0.09,0,40,,,,MULTI-1,SINGLE,PLAIN,3S MILL 2FL 30deg. Helix E/M,,,simple,simple,8000000,10,1,1,4
1,CARBIDE,"3,7,16,17,18",3S MILL,CG3S01,EM_square,GR-EM-CG3S01,CG3S010007,YNEAAAEDF,,,New Century,2,0.07,4,0.1,0,40,,,,MULTI-1,SINGLE,PLAIN,3S MILL 2FL 30deg. Helix E/M,,,simple,simple,8000000,10,1,1,4
1,CARBIDE,"3,7,16,17,18",3S MILL,CG3S01,EM_square,GR-EM-CG3S01,CG3S010008,YNEAAAFDF,,,New Century,2,0.08,4,0.12,0,40,,,,MULTI-1,SINGLE,PLAIN,3S MILL 2FL 30deg. Helix E/M,,,simple,simple,8000000,10,1,1,4
1,CARBIDE,"3,7,16,17,18",3S MILL,CG3S01,EM_square,GR-EM-CG3S01,CG3S010009,YNEAAAGDF,,,New Century,2,0.09,4,0.13,0,40,,,,MULTI-1,SINGLE,PLAIN,3S MILL 2FL 30deg. Helix E/M,,,simple,simple,8000000,10,1,1,4
1,CARBIDE,"3,7,16,17,18",3S MILL,CG3S01,EM_square,GR-EM-CG3S01,CG3S01001,YNEAAAHDF,,,New Century,2,0.1,4,0.2,0,40,,,,MULTI-1,SINGLE,PLAIN,3S MILL 2FL 30deg. Helix E/M,,,simple,simple,8000000,10,1,1,4
1,CARBIDE,"3,7,16,17,18",3S MILL,CG3S01,EM_square,GR-EM-CG3S01,CG3S010015,YNEAAAIDF,,,New Century,2,0.15,4,0.3,0,40,,,,MULTI-1,SINGLE,PLAIN,3S MILL 2FL 30deg. Helix E/M,,,simple,simple,8000000,10,1,1,4
1,CARBIDE,"3,7,16,17,18",3S MILL,CG3S01,EM_square,GR-EM-CG3S01,CG3S01002,YNEAAAJDF,,,New Century,2,0.2,4,0.4,0,40,,,,MULTI-1,SINGLE,PLAIN,3S MILL 2FL 30deg. Helix E/M,,,simple,simple,8000000,10,1,1,4
